month,department,headcount,departures,avg_tenure,avg_satisfaction,avg_comp_ratio,avg_engagement,bls_energy_index
6,Compliance,34,0,5.7,3.65,1.06,3.71,101.65
6,WealthManagement,44,2,5.1,3.3,1.06,3.84,101.65
6,RetailBanking,51,3,5.1,3.5,1.05,3.81,101.65
6,Fintech,27,0,5.0,3.44,1.04,3.91,101.65
6,Operations,31,1,4.3,3.47,1.03,3.92,101.65
7,InvestmentBanking,32,1,6.5,3.45,1.09,3.82,103.1
7,EquityResearch,22,1,5.4,3.9,1.02,3.8,103.1
7,Risk,40,2,6.4,3.32,1.06,3.78,103.1
7,Compliance,34,1,4.8,3.71,1.03,3.68,103.1
7,WealthManagement,43,1,5.3,3.31,1.06,3.84,103.1
7,RetailBanking,51,0,5.2,3.5,1.05,3.81,103.1
7,Fintech,27,0,5.1,3.43,1.04,3.91,103.1
7,Operations,32,0,4.2,3.44,1.02,3.92,103.1
8,InvestmentBanking,31,2,6.5,3.49,1.1,3.83,103.4
8,EquityResearch,21,1,5.6,3.8,1.02,3.75,103.4
8,Risk,40,1,6.5,3.36,1.06,3.77,103.4
8,Compliance,35,2,4.5,3.66,1.03,3.65,103.4
8,WealthManagement,42,2,5.4,3.32,1.07,3.82,103.4
8,RetailBanking,51,0,5.3,3.49,1.05,3.81,103.4
8,Fintech,28,0,5.0,3.47,1.03,3.9,103.4
8,Operations,31,2,4.2,3.55,1.05,3.86,103.4
9,InvestmentBanking,30,0,6.8,3.51,1.1,3.84,103.14
9,EquityResearch,23,0,5.2,3.75,1.02,3.79,103.14
9,Risk,39,1,6.6,3.4,1.07,3.78,103.14
9,Compliance,35,0,4.6,3.67,1.03,3.65,103.14
9,WealthManagement,40,1,5.6,3.37,1.07,3.87,103.14
9,RetailBanking,51,0,5.4,3.49,1.05,3.81,103.14
9,Fintech,28,0,5.1,3.46,1.03,3.9,103.14
9,Operations,31,0,4.3,3.54,1.05,3.86,103.14
10,InvestmentBanking,29,1,7.1,3.47,1.1,3.85,102.89
10,EquityResearch,24,0,5.1,3.69,1.01,3.78,102.89
10,Risk,38,1,6.8,3.36,1.07,3.78,102.89
10,Compliance,34,1,4.8,3.65,1.03,3.68,102.89
10,WealthManagement,38,2,5.8,3.35,1.08,3.86,102.89
10,RetailBanking,52,0,5.4,3.49,1.05,3.83,102.89
10,Fintech,29,0,5.0,3.48,1.03,3.91,102.89
10,Operations,30,0,4.5,3.53,1.05,3.85,102.89
11,InvestmentBanking,28,1,7.0,3.53,1.09,3.84,102.52
11,EquityResearch,23,2,4.8,3.65,1.02,3.76,102.52
11,Risk,38,0,6.9,3.35,1.07,3.78,102.52
11,Compliance,34,0,4.9,3.64,1.03,3.68,102.52
11,WealthManagement,37,1,6.0,3.35,1.08,3.84,102.52
11,RetailBanking,53,0,5.4,3.48,1.05,3.83,102.52
11,Fintech,29,0,5.1,3.47,1.03,3.91,102.52
11,Operations,30,0,4.6,3.53,1.05,3.85,102.52
12,InvestmentBanking,27,2,6.0,3.52,1.07,3.84,103.09
12,EquityResearch,23,0,4.9,3.66,1.02,3.76,103.09
12,Risk,35,2,7.3,3.39,1.08,3.76,103.09
12,Compliance,36,0,4.8,3.63,1.03,3.68,103.09
12,WealthManagement,40,0,5.6,3.38,1.08,3.85,103.09
12,RetailBanking,51,2,5.6,3.52,1.05,3.83,103.09
12,Fintech,28,1,5.3,3.52,1.03,3.92,103.09
12,Operations,30,2,4.6,3.58,1.05,3.8,103.09
13,InvestmentBanking,28,0,5.9,3.52,1.07,3.87,103.0
13,EquityResearch,21,1,5.1,3.69,1.03,3.75,103.0
13,Risk,33,2,7.5,3.42,1.07,3.79,103.0
13,Compliance,36,0,4.8,3.63,1.02,3.68,103.0
13,WealthManagement,41,1,5.5,3.37,1.08,3.82,103.0
13,RetailBanking,51,2,5.5,3.55,1.05,3.82,103.0
13,Fintech,28,0,5.4,3.52,1.03,3.92,103.0
13,Operations,29,1,4.3,3.6,1.05,3.8,103.0
14,InvestmentBanking,28,0,6.0,3.51,1.07,3.87,103.17
14,EquityResearch,20,0,5.5,3.73,1.02,3.8,103.17
14,Risk,33,0,7.6,3.41,1.07,3.79,103.17
14,Compliance,35,0,5.1,3.64,1.03,3.64,103.17
14,WealthManagement,42,0,5.4,3.35,1.07,3.83,103.17
14,RetailBanking,50,2,5.5,3.55,1.04,3.83,103.17
14,Fintech,28,0,5.5,3.53,1.03,3.92,103.17
14,Operations,29,0,4.4,3.61,1.05,3.8,103.17
15,InvestmentBanking,26,1,6.4,3.49,1.09,3.85,103.24
15,EquityResearch,20,1,5.4,3.69,1.05,3.82,103.24
15,Risk,33,1,7.1,3.41,1.06,3.8,103.24
15,Compliance,35,0,5.2,3.62,1.03,3.64,103.24
15,WealthManagement,40,2,5.6,3.34,1.08,3.84,103.24
15,RetailBanking,49,1,5.6,3.56,1.04,3.83,103.24
15,Fintech,30,0,5.2,3.57,1.04,3.96,103.24
15,Operations,29,0,4.5,3.61,1.05,3.8,103.24
16,InvestmentBanking,26,0,6.5,3.5,1.09,3.85,103.7
16,EquityResearch,20,0,5.5,3.69,1.05,3.82,103.7
16,Risk,32,1,7.2,3.41,1.06,3.79,103.7
16,Compliance,34,2,4.9,3.68,1.03,3.64,103.7
16,WealthManagement,39,1,5.6,3.4,1.08,3.85,103.7
16,RetailBanking,48,1,5.8,3.59,1.04,3.82,103.7
16,Fintech,31,0,5.1,3.57,1.05,3.99,103.7
16,Operations,28,2,4.3,3.59,1.06,3.8,103.7
17,InvestmentBanking,25,1,6.7,3.53,1.1,3.82,103.38
17,EquityResearch,20,0,5.6,3.7,1.05,3.82,103.38
17,Risk,32,0,7.3,3.41,1.06,3.79,103.38
17,Compliance,30,1,4.8,3.66,1.02,3.64,103.38
17,WealthManagement,39,0,5.7,3.4,1.08,3.85,103.38
17,RetailBanking,48,0,5.9,3.58,1.04,3.82,103.38
17,Fintech,31,1,5.1,3.58,1.04,3.95,103.38
17,Operations,30,0,4.1,3.62,1.06,3.78,103.38
18,InvestmentBanking,25,1,6.6,3.57,1.08,3.82,102.94
18,EquityResearch,20,1,5.5,3.65,1.07,3.76,102.94
18,Risk,32,0,7.4,3.41,1.06,3.79,102.94
18,Compliance,29,1,4.9,3.66,1.02,3.63,102.94
18,WealthManagement,39,0,5.8,3.4,1.08,3.85,102.94
18,RetailBanking,47,1,6.0,3.59,1.04,3.83,102.94
18,Fintech,31,1,5.0,3.62,1.04,3.93,102.94
18,Operations,29,0,4.3,3.63,1.06,3.79,102.94
19,InvestmentBanking,25,0,6.7,3.57,1.08,3.82,103.15
19,EquityResearch,22,0,5.1,3.67,1.09,3.75,103.15
19,Risk,31,2,7.4,3.47,1.06,3.76,103.15
19,Compliance,29,1,4.3,3.65,1.01,3.64,103.15
19,WealthManagement,36,2,6.1,3.39,1.09,3.83,103.15
19,RetailBanking,47,2,5.6,3.6,1.03,3.84,103.15
19,Fintech,31,0,5.1,3.68,1.04,3.95,103.15
19,Operations,29,0,4.4,3.63,1.06,3.79,103.15
20,InvestmentBanking,25,1,6.7,3.6,1.08,3.85,103.55
20,EquityResearch,22,0,5.1,3.6,1.1,3.77,103.55
20,Risk,28,2,6.8,3.54,1.04,3.85,103.55
20,Compliance,29,1,4.2,3.64,1.01,3.68,103.55
20,WealthManagement,34,3,6.2,3.48,1.09,3.83,103.55
20,RetailBanking,48,0,5.6,3.63,1.03,3.85,103.55
20,Fintech,31,1,4.1,3.65,1.02,3.96,103.55
20,Operations,28,1,4.5,3.64,1.07,3.77,103.55
21,InvestmentBanking,25,0,6.8,3.59,1.08,3.85,103.82
21,EquityResearch,21,0,5.4,3.63,1.1,3.76,103.82
21,Risk,28,0,6.9,3.53,1.04,3.85,103.82
21,Compliance,27,1,4.5,3.71,1.02,3.68,103.82
21,WealthManagement,34,0,6.2,3.46,1.1,3.78,103.82
21,RetailBanking,48,0,5.7,3.63,1.03,3.85,103.82
21,Fintech,30,0,4.3,3.67,1.02,3.96,103.82
21,Operations,29,0,4.5,3.67,1.07,3.76,103.82
22,InvestmentBanking,25,0,6.9,3.59,1.08,3.85,103.52
22,EquityResearch,20,0,5.8,3.58,1.08,3.8,103.52
22,Risk,28,1,6.6,3.52,1.05,3.83,103.52
22,Compliance,28,0,4.4,3.73,1.04,3.68,103.52
22,WealthManagement,33,0,6.5,3.47,1.1,3.78,103.52
22,RetailBanking,45,3,6.0,3.62,1.03,3.87,103.52
22,Fintech,30,0,4.3,3.66,1.02,3.97,103.52
22,Operations,30,0,4.4,3.66,1.07,3.78,103.52
23,InvestmentBanking,24,0,7.3,3.57,1.09,3.83,103.95
23,EquityResearch,20,0,5.8,3.63,1.08,3.77,103.95
23,Risk,30,0,6.3,3.59,1.06,3.82,103.95
23,Compliance,29,0,4.3,3.75,1.04,3.67,103.95
23,WealthManagement,30,3,6.4,3.47,1.1,3.74,103.95
23,RetailBanking,45,1,6.0,3.63,1.04,3.85,103.95
23,Fintech,28,0,4.7,3.68,1.02,3.97,103.95
23,Operations,28,3,4.0,3.63,1.06,3.78,103.95
24,InvestmentBanking,26,0,6.8,3.51,1.1,3.82,103.68
24,EquityResearch,22,0,5.4,3.63,1.08,3.84,103.68
24,Risk,30,0,6.4,3.59,1.06,3.82,103.68
24,Compliance,28,1,4.2,3.76,1.04,3.67,103.68
24,WealthManagement,30,0,6.5,3.48,1.11,3.74,103.68
24,RetailBanking,45,0,6.1,3.66,1.05,3.85,103.68
24,Fintech,25,3,4.8,3.83,1.03,4.01,103.68
24,Operations,26,2,4.0,3.62,1.07,3.82,103.68
25,InvestmentBanking,25,0,7.1,3.49,1.09,3.8,103.52
25,EquityResearch,21,0,5.7,3.62,1.09,3.88,103.52
25,Risk,30,0,6.5,3.59,1.06,3.82,103.52
25,Compliance,28,0,4.3,3.76,1.04,3.67,103.52
25,WealthManagement,31,0,6.4,3.49,1.1,3.74,103.52
25,RetailBanking,44,1,6.2,3.68,1.05,3.86,103.52
25,Fintech,22,3,4.8,3.88,1.03,4.04,103.52
25,Operations,30,0,3.6,3.63,1.07,3.79,103.52
26,InvestmentBanking,25,0,7.1,3.43,1.09,3.78,103.15
26,EquityResearch,23,0,5.3,3.62,1.08,3.87,103.15
26,Risk,29,1,6.7,3.58,1.06,3.84,103.15
26,Compliance,27,0,4.5,3.79,1.04,3.72,103.15
26,WealthManagement,32,0,6.3,3.51,1.1,3.73,103.15
26,RetailBanking,40,2,6.5,3.76,1.04,3.87,103.15
26,Fintech,23,0,4.7,3.88,1.03,4.05,103.15
26,Operations,30,0,3.6,3.63,1.09,3.76,103.15
27,InvestmentBanking,23,0,7.8,3.46,1.11,3.74,103.9
27,EquityResearch,23,0,5.4,3.62,1.08,3.87,103.9
27,Risk,28,0,7.0,3.52,1.05,3.85,103.9
27,Compliance,27,0,4.6,3.79,1.04,3.72,103.9
27,WealthManagement,32,0,6.4,3.51,1.1,3.73,103.9
27,RetailBanking,41,0,6.4,3.77,1.04,3.86,103.9
27,Fintech,23,0,4.8,3.89,1.03,4.05,103.9
27,Operations,30,0,3.7,3.62,1.09,3.76,103.9
28,InvestmentBanking,23,1,7.7,3.56,1.11,3.72,104.32
28,EquityResearch,23,1,5.4,3.58,1.08,3.89,104.32
28,Risk,28,1,6.8,3.54,1.05,3.82,104.32
28,Compliance,26,0,4.9,3.77,1.03,3.71,104.32
28,WealthManagement,31,0,6.6,3.53,1.09,3.76,104.32
28,RetailBanking,39,2,6.3,3.73,1.04,3.89,104.32
28,Fintech,23,0,4.9,3.89,1.03,4.05,104.32
28,Operations,30,1,3.4,3.64,1.08,3.74,104.32
29,InvestmentBanking,22,1,7.7,3.6,1.11,3.71,104.72
29,EquityResearch,23,1,4.7,3.63,1.06,3.82,104.72
29,Risk,28,0,6.9,3.53,1.05,3.82,104.72
29,Compliance,25,0,5.1,3.79,1.04,3.7,104.72
29,WealthManagement,32,0,6.5,3.57,1.08,3.73,104.72
29,RetailBanking,37,2,6.5,3.77,1.04,3.87,104.72
29,Fintech,23,0,5.0,3.88,1.03,4.05,104.72
29,Operations,30,0,3.5,3.64,1.08,3.74,104.72
30,InvestmentBanking,21,1,7.7,3.65,1.11,3.72,105.44
30,EquityResearch,23,0,4.8,3.61,1.06,3.82,105.44
30,Risk,28,1,6.6,3.61,1.06,3.86,105.44
30,Compliance,25,1,5.0,3.72,1.04,3.67,105.44
30,WealthManagement,31,1,6.4,3.6,1.09,3.72,105.44
30,RetailBanking,37,0,6.6,3.77,1.04,3.87,105.44
30,Fintech,25,0,4.7,3.85,1.04,4.04,105.44
30,Operations,29,0,3.7,3.64,1.07,3.72,105.44
31,InvestmentBanking,20,1,7.2,3.67,1.1,3.75,106.95
31,EquityResearch,24,0,4.7,3.66,1.07,3.81,106.95
31,Risk,28,0,6.7,3.61,1.06,3.86,106.95
31,Compliance,25,0,5.1,3.71,1.04,3.67,106.95
31,WealthManagement,31,0,6.5,3.59,1.09,3.72,106.95
31,RetailBanking,37,0,6.7,3.75,1.04,3.87,106.95
31,Fintech,24,0,5.0,3.83,1.05,4.05,106.95
31,Operations,29,0,3.8,3.63,1.07,3.72,106.95
32,InvestmentBanking,18,2,6.9,3.71,1.1,3.82,106.19
32,EquityResearch,23,1,4.2,3.64,1.06,3.83,106.19
32,Risk,27,0,6.9,3.64,1.07,3.89,106.19
32,Compliance,25,0,5.2,3.71,1.04,3.67,106.19
32,WealthManagement,29,1,6.9,3.63,1.1,3.7,106.19
32,RetailBanking,37,0,6.8,3.72,1.05,3.88,106.19
32,Fintech,25,0,4.9,3.77,1.06,4.0,106.19
32,Operations,31,0,3.6,3.64,1.06,3.69,106.19
33,InvestmentBanking,19,0,6.6,3.65,1.1,3.78,105.93
33,EquityResearch,23,0,4.3,3.65,1.06,3.83,105.93
33,Risk,26,0,7.3,3.66,1.07,3.9,105.93
33,Compliance,25,2,4.9,3.7,1.05,3.73,105.93
33,WealthManagement,29,0,7.0,3.64,1.1,3.7,105.93
33,RetailBanking,36,1,6.6,3.72,1.04,3.88,105.93
33,Fintech,25,0,5.0,3.78,1.06,4.0,105.93
33,Operations,29,0,3.9,3.68,1.06,3.69,105.93
34,InvestmentBanking,18,1,6.2,3.63,1.09,3.83,105.72
34,EquityResearch,25,0,4.0,3.62,1.05,3.8,105.72
34,Risk,26,0,7.4,3.66,1.07,3.9,105.72
34,Compliance,24,1,4.4,3.74,1.04,3.73,105.72
34,WealthManagement,29,0,7.1,3.67,1.1,3.72,105.72
34,RetailBanking,36,0,6.7,3.73,1.04,3.88,105.72
34,Fintech,26,0,4.9,3.77,1.06,3.97,105.72
34,Operations,26,0,4.3,3.71,1.07,3.68,105.72
35,InvestmentBanking,17,0,6.5,3.66,1.1,3.84,105.39
35,EquityResearch,25,0,4.0,3.7,1.05,3.82,105.39
35,Risk,26,0,7.5,3.66,1.07,3.9,105.39
35,Compliance,24,0,4.5,3.74,1.04,3.73,105.39
35,WealthManagement,28,0,7.3,3.65,1.09,3.7,105.39
35,RetailBanking,35,0,6.9,3.73,1.04,3.86,105.39
35,Fintech,27,0,4.8,3.78,1.06,3.93,105.39
35,Operations,26,0,4.4,3.73,1.07,3.68,105.39
