employee_id,department,role,age,tenure_years,salary,comp_ratio,satisfaction,performance,engagement
58,Operations,Field Operator,23,1.6,77253.0,0.95,4.16,2.92,4.11
59,Operations,Field Operator,23,0.5,82346.0,0.9,2.46,2.16,2.4
60,Operations,Control Room Technician,24,7.8,90429.0,1.11,4.37,4.13,3.76
61,Operations,Plant Operator,26,2.3,90422.0,1.1,2.83,2.78,2.91
62,Operations,Plant Operator,29,7.4,97728.0,1.27,2.39,3.47,3.18
63,Operations,Plant Operator,23,21.4,109340.0,1.37,3.02,2.83,3.16
64,Operations,Shift Supervisor,40,4.4,83470.0,1.03,3.79,4.12,3.59
65,Operations,Shift Supervisor,45,1.6,76004.0,0.98,3.81,3.11,4.01
66,Operations,Field Operator,40,0.5,76645.0,0.94,4.36,2.61,4.0
67,Operations,Shift Supervisor,47,5.9,81941.0,0.91,1.84,2.42,3.52
68,Operations,Control Room Technician,38,1.3,86212.0,1.0,3.78,2.92,3.63
69,Operations,Shift Supervisor,48,0.5,73581.0,0.95,2.59,3.2,5.0
70,Operations,Field Operator,42,11.4,101432.0,1.26,3.45,3.08,3.33
71,Operations,Control Room Technician,34,5.9,93256.0,1.18,3.79,3.0,4.07
72,Operations,Shift Supervisor,28,3.1,68148.0,0.81,1.91,2.15,4.62
73,Operations,Operations Manager,28,11.4,89277.0,0.93,3.07,4.89,4.06
74,Operations,Shift Supervisor,34,9.6,84958.0,1.01,3.58,3.14,4.27
75,Operations,Operations Manager,43,1.6,73534.0,0.94,4.8,2.52,3.27
76,Operations,Field Operator,61,1.7,89258.0,1.06,4.66,3.29,3.95
77,Operations,Shift Supervisor,40,1.1,70525.0,0.83,3.86,2.1,4.18
78,Operations,Plant Operator,41,9.2,77726.0,0.9,2.15,2.62,3.95
79,Operations,Shift Supervisor,47,12.4,101637.0,1.24,2.69,3.69,4.2
80,Operations,Field Operator,55,6.6,92058.0,1.22,3.43,2.99,3.35
81,Engineering,Process Engineer,56,2.6,93897.0,0.9,3.77,3.24,3.34
82,Engineering,Process Engineer,35,2.9,101667.0,0.94,3.94,3.33,2.93
83,Engineering,Mechanical Engineer,22,4.0,97925.0,0.95,2.34,4.14,4.55
84,Engineering,Project Engineer,52,5.1,86676.0,0.77,3.26,2.45,4.23
85,Engineering,Mechanical Engineer,51,3.5,97055.0,0.94,4.79,2.34,3.95
86,Engineering,Project Engineer,51,4.4,103647.0,0.91,2.48,2.9,3.49
87,Engineering,Project Engineer,61,20.2,135764.0,1.32,3.04,4.09,3.42
88,Engineering,Mechanical Engineer,54,13.7,141401.0,1.38,2.15,3.58,3.18
89,Engineering,Project Engineer,49,3.0,107913.0,0.99,2.47,3.7,3.94
90,Engineering,Project Engineer,31,1.2,94108.0,0.9,3.72,2.77,4.08
91,Engineering,Instrumentation Engineer,38,7.3,128631.0,1.18,1.57,4.33,5.0
92,Engineering,Project Engineer,33,4.8,105788.0,1.0,3.35,2.42,4.15
93,Engineering,Instrumentation Engineer,35,3.1,110369.0,1.16,3.64,2.96,3.71
94,Engineering,Process Engineer,44,16.9,144623.0,1.36,4.98,3.08,4.8
95,Engineering,Process Engineer,24,1.0,100922.0,0.92,3.64,4.05,3.61
96,Engineering,Project Engineer,60,2.6,93800.0,0.88,3.43,2.01,2.83
97,Engineering,Project Engineer,58,6.8,89988.0,0.9,3.72,2.7,3.01
98,Engineering,Electrical Engineer,34,0.9,120070.0,1.17,3.81,3.08,4.29
99,Engineering,Project Engineer,41,3.9,101269.0,0.95,3.12,3.75,4.7
100,Engineering,Mechanical Engineer,48,17.6,148235.0,1.41,4.26,1.62,3.3
101,Engineering,Electrical Engineer,23,7.6,107390.0,0.98,3.34,3.98,3.65
102,Engineering,Project Engineer,26,1.2,108423.0,0.99,2.77,3.59,3.67
103,Engineering,Electrical Engineer,38,0.5,103091.0,0.93,3.49,3.05,3.07
104,Engineering,Process Engineer,35,4.0,103135.0,0.94,3.42,3.99,2.43
105,Engineering,Project Engineer,41,2.9,117189.0,1.14,4.11,2.4,3.13
106,Engineering,Project Engineer,50,0.7,102250.0,0.97,3.72,3.31,4.27
107,Engineering,Project Engineer,23,0.8,76073.0,0.78,4.45,2.49,2.68
108,Engineering,Mechanical Engineer,22,1.1,115162.0,1.13,3.2,2.57,3.81
109,Engineering,Electrical Engineer,58,10.4,143992.0,1.47,4.41,2.56,4.31
110,Engineering,Mechanical Engineer,53,5.1,121278.0,1.19,4.09,3.65,4.0
111,Engineering,Instrumentation Engineer,35,0.5,91141.0,0.81,4.85,4.41,4.62
112,Engineering,Process Engineer,57,5.7,111491.0,1.08,2.63,3.48,3.84
113,Engineering,Process Engineer,61,0.5,95668.0,1.01,4.22,3.21,3.95
114,Engineering,Process Engineer,57,5.7,101090.0,0.96,2.9,2.32,4.11
115,Engineering,Electrical Engineer,48,3.8,104772.0,1.05,4.35,3.92,3.82
116,Engineering,Instrumentation Engineer,46,17.9,149375.0,1.45,4.53,3.97,3.72
117,Engineering,Instrumentation Engineer,61,8.0,119920.0,1.14,3.04,3.38,3.5
118,Engineering,Project Engineer,25,5.6,107185.0,1.04,3.72,2.4,3.51
119,Engineering,Instrumentation Engineer,29,35.0,197773.0,1.83,1.81,1.9,3.82
120,Engineering,Instrumentation Engineer,37,5.6,122555.0,1.04,3.82,4.29,3.12
121,Engineering,Instrumentation Engineer,58,2.7,94282.0,0.89,4.64,4.49,3.6
122,Engineering,Electrical Engineer,61,0.9,114328.0,1.09,3.6,3.46,5.0
123,Engineering,Mechanical Engineer,45,3.3,113727.0,1.07,3.11,3.84,3.82
124,Engineering,Electrical Engineer,37,1.1,101318.0,0.99,1.95,3.67,3.21
125,Engineering,Process Engineer,25,20.1,152954.0,1.43,4.16,2.26,3.56
126,Engineering,Process Engineer,40,4.7,111140.0,1.01,4.08,3.24,2.66
127,Engineering,Project Engineer,26,4.7,106179.0,1.01,3.48,3.36,4.37
128,Engineering,Instrumentation Engineer,61,4.0,95908.0,0.93,4.5,2.9,2.3
129,Engineering,Project Engineer,55,6.7,108812.0,1.02,3.53,2.98,4.43
130,Engineering,Electrical Engineer,45,14.2,140126.0,1.26,3.81,3.27,3.71
131,Engineering,Process Engineer,30,6.6,133311.0,1.26,2.48,3.25,3.15
132,Engineering,Instrumentation Engineer,29,3.7,110958.0,1.03,4.29,4.01,4.66
133,Engineering,Mechanical Engineer,43,3.7,87743.0,0.82,2.81,3.28,3.46
134,Engineering,Electrical Engineer,42,1.2,96858.0,0.95,3.31,3.25,3.8
135,Engineering,Process Engineer,60,7.2,131060.0,1.27,3.97,2.39,3.75
136,Engineering,Project Engineer,23,1.7,101757.0,1.02,3.89,4.04,3.97
137,Engineering,Mechanical Engineer,43,0.5,68584.0,0.68,1.0,1.99,4.07
138,Engineering,Project Engineer,58,2.5,95478.0,0.98,3.11,4.77,3.8
139,Engineering,Instrumentation Engineer,53,3.6,106577.0,0.97,3.41,3.18,2.98
140,Engineering,Electrical Engineer,33,0.5,105206.0,1.01,3.27,3.13,3.93
141,Maintenance,Maintenance Technician,58,2.4,67817.0,0.94,3.17,2.21,4.07
142,Maintenance,Welding Inspector,60,4.3,80694.0,1.08,3.8,3.64,2.96
143,Maintenance,Reliability Engineer,57,1.9,78238.0,1.0,3.11,3.81,4.69
144,Maintenance,Welding Inspector,36,6.8,83596.0,1.1,4.11,3.28,3.88
145,Maintenance,Reliability Engineer,38,1.9,68940.0,0.87,4.01,3.2,4.0
146,Maintenance,Reliability Engineer,48,4.8,85462.0,1.13,2.51,4.21,3.5
147,Maintenance,NDT Technician,56,1.7,66411.0,0.87,3.28,2.96,4.17
148,Maintenance,Reliability Engineer,48,8.1,89812.0,1.2,1.81,2.94,2.49
149,Maintenance,Welding Inspector,32,7.1,92244.0,1.26,3.66,2.85,4.09
150,Maintenance,Planner/Scheduler,38,10.5,98903.0,1.26,4.14,3.67,3.23
151,Maintenance,NDT Technician,43,0.5,71763.0,0.89,2.81,2.82,4.13
152,Maintenance,Reliability Engineer,55,4.7,71174.0,0.91,3.59,4.91,2.97
153,Maintenance,Welding Inspector,31,9.0,91839.0,1.2,3.86,3.09,4.67
154,Maintenance,Welding Inspector,54,4.6,75135.0,0.97,2.64,3.52,4.67
155,Maintenance,Reliability Engineer,27,5.3,73277.0,0.94,2.23,2.56,3.94
156,Maintenance,Maintenance Technician,38,3.9,74180.0,1.04,3.7,3.09,4.06
157,Maintenance,Reliability Engineer,32,13.3,94990.0,1.16,2.27,3.66,3.63
158,Maintenance,Planner/Scheduler,44,4.6,85234.0,1.12,2.98,4.06,4.75
159,Maintenance,Welding Inspector,51,5.1,89421.0,1.22,3.99,3.62,4.11
160,Maintenance,Welding Inspector,36,2.1,64928.0,0.8,4.54,3.79,4.69
161,Maintenance,Welding Inspector,54,1.7,71982.0,0.94,3.56,3.99,3.58
162,Maintenance,Reliability Engineer,43,0.8,74902.0,0.97,2.9,3.03,3.69
163,Maintenance,Reliability Engineer,48,8.6,87431.0,1.12,1.82,2.57,3.64
164,Maintenance,Planner/Scheduler,54,0.5,69990.0,0.97,3.55,3.23,3.75
165,Maintenance,Planner/Scheduler,52,8.0,70627.0,0.82,3.07,3.21,4.21
166,Maintenance,Welding Inspector,25,1.2,79635.0,1.09,3.65,3.87,3.96
167,Maintenance,NDT Technician,48,6.5,84418.0,1.1,4.68,1.48,2.95
168,Maintenance,Welding Inspector,30,14.2,98077.0,1.2,2.71,2.6,5.0
169,Maintenance,Reliability Engineer,50,0.5,68505.0,0.83,1.97,3.12,3.2
170,Maintenance,Reliability Engineer,52,10.9,87455.0,1.14,3.79,3.49,3.01
171,Maintenance,Planner/Scheduler,44,17.1,110340.0,1.43,2.4,2.98,4.02
172,Maintenance,Welding Inspector,28,3.1,87260.0,1.18,3.29,3.73,4.96
173,Maintenance,Planner/Scheduler,45,1.5,66766.0,0.94,2.65,2.27,3.51
174,Maintenance,Planner/Scheduler,29,2.8,71391.0,0.89,2.93,2.58,5.0
175,Maintenance,Reliability Engineer,32,3.1,73076.0,0.94,2.93,1.34,2.97
176,Maintenance,Maintenance Technician,26,8.0,78448.0,1.09,3.46,4.1,4.05
177,Maintenance,Maintenance Technician,61,1.4,76673.0,1.03,3.04,3.59,4.14
178,Maintenance,NDT Technician,28,7.0,76415.0,1.0,3.76,2.65,3.82
179,Maintenance,Welding Inspector,34,1.7,84459.0,1.16,2.7,4.38,3.48
180,Maintenance,Planner/Scheduler,39,9.0,86044.0,1.03,3.36,2.11,4.38
181,Maintenance,NDT Technician,44,5.2,82972.0,1.04,3.0,3.74,3.78
182,Maintenance,Planner/Scheduler,25,1.9,81077.0,1.06,4.14,2.89,3.77
183,Maintenance,Planner/Scheduler,32,3.0,80998.0,1.08,3.97,4.28,4.67
184,Maintenance,NDT Technician,37,0.9,72006.0,0.91,4.8,3.45,3.67
185,Maintenance,Reliability Engineer,51,11.2,79394.0,1.07,3.55,3.38,3.0
186,Maintenance,NDT Technician,57,6.2,88771.0,1.16,3.15,2.92,2.52
187,Maintenance,Reliability Engineer,43,8.6,77072.0,0.97,2.57,2.52,3.83
188,Maintenance,Planner/Scheduler,36,3.9,82471.0,1.11,3.3,1.46,3.2
189,Maintenance,NDT Technician,38,12.8,94532.0,1.17,4.14,2.73,4.04
190,Maintenance,Welding Inspector,34,2.0,72774.0,0.96,2.31,4.03,3.34
191,HSE,Environmental Specialist,48,2.8,78867.0,0.85,4.27,3.41,2.85
192,HSE,Safety Engineer,27,2.8,76304.0,0.76,4.2,3.39,4.05
193,HSE,Safety Engineer,60,0.7,92337.0,1.12,3.33,2.64,4.06
194,HSE,Safety Engineer,23,13.5,110675.0,1.3,3.76,2.69,4.35
195,HSE,Environmental Specialist,58,0.8,91903.0,0.92,3.78,4.54,4.08
196,HSE,Environmental Specialist,43,6.8,98760.0,1.04,3.2,3.84,2.76
197,HSE,Safety Engineer,34,0.6,89727.0,0.9,4.56,4.07,4.38
198,HSE,Environmental Specialist,55,12.5,116626.0,1.27,3.94,3.32,3.97
199,HSE,HSE Coordinator,60,1.7,64856.0,0.68,3.37,1.97,3.86
200,HSE,HSE Coordinator,25,1.8,92535.0,0.94,2.96,4.23,3.47
201,HSE,Safety Engineer,28,1.0,103266.0,1.13,3.35,3.6,2.95
202,HSE,HSE Coordinator,31,0.5,84540.0,0.88,3.04,3.69,3.95
203,HSE,Safety Engineer,43,4.3,100418.0,1.05,5.0,2.1,4.56
204,HSE,HSE Coordinator,35,1.8,108601.0,1.21,4.28,3.22,3.67
205,HSE,HSE Coordinator,43,2.5,103384.0,1.11,2.77,3.78,4.35
206,HSE,Fire Protection Engineer,50,0.5,83972.0,0.85,2.81,2.06,3.94
207,HSE,HSE Coordinator,42,2.9,67339.0,0.66,4.4,2.73,4.02
208,HSE,Environmental Specialist,45,1.3,87128.0,0.95,5.0,4.26,3.62
209,HSE,Safety Engineer,41,0.6,90982.0,0.97,3.18,4.23,3.73
210,HSE,HSE Coordinator,56,6.2,115860.0,1.26,4.27,2.69,3.29
211,Projects,Commissioning Engineer,39,4.9,114982.0,0.98,2.41,2.2,2.74
212,Projects,Construction Manager,27,1.2,103398.0,0.83,3.35,3.09,5.0
213,Projects,Project Manager,60,1.2,120535.0,1.12,3.95,3.28,4.0
214,Projects,Project Manager,50,2.2,115365.0,0.98,3.76,3.33,3.43
215,Projects,Construction Manager,27,6.5,108897.0,0.97,2.62,3.43,3.11
216,Projects,Project Manager,54,11.6,129175.0,1.14,4.56,3.43,3.67
217,Projects,Construction Manager,37,3.1,108837.0,1.09,3.61,3.25,4.13
218,Projects,Cost Engineer,34,1.6,87963.0,0.81,2.93,4.12,3.61
219,Projects,Project Manager,56,11.1,131562.0,1.17,4.36,4.04,3.7
220,Projects,Commissioning Engineer,41,6.8,125815.0,1.16,4.29,2.38,5.0
221,Projects,Cost Engineer,31,8.0,106999.0,0.93,4.71,3.02,4.3
222,Projects,Project Manager,38,1.8,118938.0,1.07,2.08,2.64,4.13
223,Projects,Construction Manager,28,0.9,95475.0,0.84,3.21,2.24,3.42
224,Projects,Cost Engineer,29,1.7,113259.0,1.02,3.19,3.3,3.31
225,Projects,Scheduler,54,2.6,101496.0,0.86,3.63,3.71,2.85
226,Projects,Cost Engineer,32,2.6,111290.0,1.01,2.34,2.32,3.82
227,Projects,Commissioning Engineer,44,4.5,125262.0,1.13,3.94,2.71,3.73
228,Projects,Construction Manager,51,4.8,123946.0,1.08,3.14,2.23,2.95
229,Projects,Commissioning Engineer,47,5.0,118718.0,1.1,3.76,3.37,4.75
230,Projects,Scheduler,51,8.9,138023.0,1.32,2.36,2.98,4.61
231,Projects,Construction Manager,33,10.8,130191.0,1.16,3.73,3.02,3.77
232,Projects,Construction Manager,27,6.6,125255.0,1.28,2.08,3.43,3.34
233,Projects,Project Manager,28,5.3,123635.0,1.18,3.65,3.99,2.39
234,Projects,Project Manager,31,0.7,112901.0,0.97,2.84,3.3,3.79
235,Projects,Project Manager,53,5.7,99502.0,0.95,3.51,3.06,2.92
236,Projects,Project Manager,54,9.8,124673.0,1.17,2.31,3.24,3.73
237,Projects,Commissioning Engineer,45,7.9,116614.0,1.03,4.52,3.58,3.57
238,Projects,Construction Manager,42,0.9,106541.0,0.88,4.1,3.29,5.0
239,Projects,Construction Manager,36,2.1,124352.0,1.19,2.94,3.36,3.8
240,Projects,Project Manager,33,23.2,168615.0,1.45,3.61,3.52,3.66
241,Projects,Construction Manager,35,0.8,106124.0,0.93,3.28,2.15,3.18
242,Projects,Construction Manager,44,2.6,101541.0,0.96,3.07,3.37,3.72
243,Projects,Commissioning Engineer,59,0.6,86022.0,0.71,3.07,2.33,4.05
244,Projects,Commissioning Engineer,53,1.5,87235.0,0.8,2.6,2.85,3.88
245,Projects,Construction Manager,51,2.7,127030.0,1.13,3.71,3.92,3.7
246,Commercial,Procurement Specialist,54,4.6,108258.0,1.09,2.69,3.29,3.45
247,Commercial,Procurement Specialist,35,1.6,82341.0,0.88,2.38,2.74,4.95
248,Commercial,Commercial Analyst,24,0.5,82885.0,0.81,3.56,3.23,3.75
249,Commercial,Commercial Analyst,47,3.7,86947.0,0.85,4.23,2.24,3.69
250,Commercial,Contracts Manager,53,1.4,90259.0,0.99,3.91,2.28,4.2
251,Commercial,Contracts Manager,56,1.5,96839.0,0.95,4.21,2.66,3.43
252,Commercial,Commercial Analyst,33,6.3,116838.0,1.21,4.87,4.79,3.18
253,Commercial,Procurement Specialist,27,3.0,91193.0,0.89,2.65,2.46,3.71
254,Commercial,Contracts Manager,25,2.0,87022.0,1.02,3.14,3.25,3.02
255,Commercial,Contracts Manager,41,9.0,116899.0,1.11,3.67,2.41,4.68
256,Commercial,Commercial Analyst,24,2.5,74909.0,0.71,4.05,4.05,4.47
257,Commercial,Contracts Manager,40,0.9,101511.0,0.94,3.49,3.39,3.62
258,Commercial,Contracts Manager,51,0.5,88404.0,0.89,3.05,2.89,3.78
259,Commercial,Commercial Analyst,35,5.2,100245.0,1.02,1.96,3.53,3.8
260,Commercial,Commercial Analyst,52,1.2,75551.0,0.66,3.72,3.2,3.9
261,Commercial,Contracts Manager,45,8.9,111732.0,1.02,4.12,4.06,4.19
262,Commercial,Procurement Specialist,55,2.8,105439.0,1.14,2.8,3.04,4.25
263,Commercial,Procurement Specialist,32,2.5,100489.0,1.04,3.57,3.35,3.64
264,Commercial,Procurement Specialist,51,1.2,88015.0,0.89,4.2,2.15,3.01
265,Commercial,Commercial Analyst,31,33.0,169090.0,1.69,4.03,2.75,3.94
266,IT,Cybersecurity Analyst,33,1.0,99011.0,0.94,3.37,3.93,4.04
267,IT,SCADA Specialist,46,6.4,99792.0,1.06,4.32,3.4,3.89
268,IT,SCADA Specialist,29,2.6,95715.0,0.96,4.2,2.81,3.43
269,IT,Systems Engineer,45,7.2,95073.0,0.98,4.95,4.2,2.82
270,IT,SCADA Specialist,23,0.8,89885.0,0.89,1.89,3.39,3.16
271,IT,SCADA Specialist,53,31.2,183088.0,1.86,2.87,2.4,2.51
272,IT,Systems Engineer,23,4.2,89254.0,0.9,3.14,2.45,3.47
273,IT,Data Analyst,30,1.6,95174.0,0.97,2.57,3.22,3.89
274,IT,SCADA Specialist,60,14.5,124747.0,1.26,3.94,1.16,4.51
275,IT,Cybersecurity Analyst,46,3.2,110279.0,1.07,2.33,2.43,4.42
276,IT,Systems Engineer,55,2.6,98663.0,0.92,3.03,2.49,4.32
277,IT,Cybersecurity Analyst,28,1.0,90971.0,0.86,4.53,2.25,4.76
278,IT,SCADA Specialist,37,10.0,113286.0,1.08,2.48,3.27,3.06
279,IT,SCADA Specialist,61,3.7,85678.0,0.81,2.77,2.59,5.0
280,IT,Cybersecurity Analyst,52,0.5,77037.0,0.73,3.67,2.48,4.34
281,IT,Cybersecurity Analyst,60,13.9,124932.0,1.24,2.99,3.01,3.66
282,IT,Systems Engineer,49,0.5,95573.0,0.94,3.16,3.76,3.66
283,IT,Data Analyst,33,1.4,111454.0,1.03,4.12,1.87,3.93
284,IT,Data Analyst,31,6.3,110927.0,1.07,3.52,3.02,3.33
285,IT,Systems Engineer,22,4.9,98402.0,0.93,2.41,3.47,4.13
286,HR,HR Business Partner,22,8.7,99060.0,1.17,3.74,3.14,3.48
287,HR,Compensation Analyst,61,0.5,73976.0,0.88,3.7,2.22,4.47
288,HR,HR Business Partner,22,10.9,112860.0,1.35,2.49,4.44,4.2
289,HR,HR Business Partner,27,0.5,91682.0,1.08,3.48,2.74,4.15
290,HR,HR Business Partner,59,4.3,81879.0,0.96,3.44,2.27,2.92
291,HR,HR Business Partner,33,7.1,96196.0,1.1,4.55,2.85,4.2
292,HR,HR Business Partner,23,3.4,91637.0,1.04,4.3,2.5,3.98
293,HR,Talent Acquisition Specialist,36,3.0,99973.0,1.13,2.4,2.5,4.2
294,HR,HR Business Partner,30,0.7,70024.0,0.87,5.0,3.46,4.15
295,HR,Compensation Analyst,59,16.6,112208.0,1.25,2.34,4.41,3.96
296,HR,HR Business Partner,42,3.7,85365.0,1.04,3.47,3.57,3.68
297,HR,HR Business Partner,23,1.3,65606.0,0.75,3.55,2.3,3.78
298,HR,Talent Acquisition Specialist,37,4.5,81443.0,0.97,3.81,2.39,3.9
299,HR,Talent Acquisition Specialist,61,5.4,89905.0,1.02,3.0,3.53,3.92
300,HR,Compensation Analyst,55,12.3,113251.0,1.32,4.13,3.81,3.32
